name,type,start_time,duration
"Test Analyzer","disable",0.2913857,9.99999999e-08
"Test Analyzer","error",0.294091,0.0008623
"Test Analyzer","enable",0.2957379,1e-07
"Test Analyzer","disable",0.2964196,1e-07
"Test Analyzer","enable",0.2964313,1e-07
"Test Analyzer","disable",0.2970637,1e-07
"Test Analyzer","error",0.2993471,0.0021877
"Test Analyzer","error",0.3016223,0.0010284
"Test Analyzer","enable",0.3040462,1e-07
"Test Analyzer","disable",0.3060539,1e-07
"Test Analyzer","error",0.3073793,0.0020996
"Test Analyzer","error",0.3120789,0.0006391
"Test Analyzer","enable",0.3131984,1e-07
"Test Analyzer","disable",0.3132058,1e-07
"Test Analyzer","error",0.3151539,0.0027188
"Test Analyzer","enable",0.3191271,1e-07
"Test Analyzer","disable",0.3206966,1e-07
"Test Analyzer","error",0.3216458,0.0032154
"Test Analyzer","enable",0.3275545,1e-07
"Test Analyzer","disable",0.3300315,1e-07
"Test Analyzer","enable",0.3327202,1e-07
"Test Analyzer","disable",0.3349797,1e-07
"Test Analyzer","error",0.3354902,0.0032041
"Test Analyzer","error",0.340964,0.0025409
"Test Analyzer","error",0.3440236,0.0028326
"Test Analyzer","enable",0.3473112,1e-07
"Test Analyzer","disable",0.3498293,1e-07
"Test Analyzer","enable",0.3516169,1e-07
"Test Analyzer","disable",0.3529005,1e-07
"Test Analyzer","enable",0.355437,1e-07
"Test Analyzer","disable",0.3554708,1e-07
"Test Analyzer","enable",0.3555338,1e-07
"Test Analyzer","disable",0.357722,1e-07
"Test Analyzer","enable",0.3603469,1e-07
"Test Analyzer","disable",0.3610183,1e-07
"Test Analyzer","error",0.3617608,0.0020321
"Test Analyzer","error",0.3645068,0.0006885
"Test Analyzer","error",0.3678336,0.0002763
"Test Analyzer","error",0.3700249,0.0003088
"Test Analyzer","enable",0.3715971,1e-07
"Test Analyzer","disable",0.3719257,1e-07
"Test Analyzer","enable",0.3741794,1e-07
"Test Analyzer","disable",0.3745394,1e-07
"Test Analyzer","enable",0.3770172,1e-07
"Test Analyzer","disable",0.3773409,1e-07
"Test Analyzer","error",0.379252,0.0010061
"Test Analyzer","error",0.381232,0.0015583
"Test Analyzer","error",0.3837271,0.0003023
"Test Analyzer","enable",0.3851283,1e-07
"Test Analyzer","disable",0.3872752,1e-07
"Test Analyzer","enable",0.3903018,1e-07
"Test Analyzer","disable",0.3911122,1e-07
"Test Analyzer","error",0.3936777,0.0005722
"Test Analyzer","enable",0.3962708,1e-07
"Test Analyzer","disable",0.3983162,1e-07
"Test Analyzer","enable",0.4011144,1e-07
"Test Analyzer","disable",0.4040398,1e-07
"Test Analyzer","error",0.4065491,0.0021182
"Test Analyzer","enable",0.4092212,1e-07
"Test Analyzer","disable",0.4105792,1e-07
"Test Analyzer","enable",0.4114059,1e-07
"Test Analyzer","disable",0.4133342,1e-07
"Test Analyzer","enable",0.4137211,1e-07
"Test Analyzer","disable",0.4138135,1e-07
"Test Analyzer","enable",0.4151374,1e-07
"Test Analyzer","disable",0.4176408,1e-07
"Test Analyzer","enable",0.4189154,1e-07
"Test Analyzer","disable",0.4212996,1e-07
